Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Gls,Ast,xG,xAG,Shots,SoT,PassCmp,PassAtt,PassCmpPct,Tkl,TklW,Blocks,Int,GK_GA,GK_GA90,GK_SoTA,GK_Saves,GK_SavePct,GK_CS,GK_CSPct,GK_PKAtt,GK_PKA,GK_PKsv,GK_PKm,GK_PSxG,GK_PSxG_per_SoT,GK_PSxG_PlusMinus,GK_PSxG_PlusMinus_per90,GK_PassCmp,GK_PassAtt,GK_PassCmpPct,GK_GKPassAtt,GK_Throws,GK_LaunchPct,GK_AvgLen,GK_CrossesStp,GK_CrossesStpPct,GK_OPA,GK_OPA90,GK_OPA_AvgDist,IsGK,AgeYears,player_norm,player_fl,club_norm,birth_year_fb,market_value_eur,player_id,dob,age,join_method
juan alvarez,ar ARG,"FW,DF",Banfield,27,1996,11.4,0,3,0.7,2.9,17,5,164,288,56.94,7,4,14,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,juan alvarez,juan alvarez,banfield,1996,,,nan,,
juan andrada,ar ARG,MF,Sarmiento,29,1995,2.7,0,0,0.0,0.6,0,0,46,66,69.7,13,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,juan andrada,juan andrada,sarmiento,1995,200000,457212,1995-01-04,30,key+birth_year
juan barinaga,ar ARG,"DF,MF",Belgrano,23,2000,7.5,1,0,0.4,0.6,3,2,192,315,60.95,16,10,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,juan barinaga,juan barinaga,belgrano,2000,3000000,701491,2000-10-10,25,first+last+birth_year
juan bautista cejas,ar ARG,"FW,MF",Godoy Cruz,25,1998,4.3,0,1,0.2,0.6,5,0,102,158,64.56,3,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,juan bautista cejas,juan cejas,godoy cruz,1998,,,nan,,
juan bisanz,ar ARG,"FW,MF",Banfield,22,2001,8.3,0,1,0.8,1.3,17,4,96,156,61.54,17,10,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,juan bisanz,juan bisanz,banfield,2001,2000000,866061,2001-08-28,24,first+last+birth_year
juan caceres,py PAR,DF,Lanús,23,2000,13.0,0,0,0.2,0.8,12,2,554,768,72.14,47,35,16,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,juan caceres,juan caceres,lanus,2000,,,nan,,
juan camilo portilla,co COL,MF,Talleres,25,1998,15.6,0,1,0.6,0.6,25,4,805,951,84.65,38,25,24,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,juan camilo portilla,juan portilla,talleres,1998,3500000,585747,1998-09-12,27,first+last+club+birth_year
juan cardozo,py PAR,MF,Arg Juniors,19,2004,2.0,0,0,0.0,0.0,0,0,121,142,85.21,2,1,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,juan cardozo,juan cardozo,arg juniors,2004,200000,912696,2004-02-24,21,first+last+birth_year
juan cavallaro,ar ARG,"FW,MF",Ind. Rivadavia,29,1994,2.8,0,0,0.3,0.1,3,1,43,58,74.14,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,juan cavallaro,juan cavallaro,ind rivadavia,1994,,,nan,,
juan cortazzo,ar ARG,DF,Gimnasia–LP,18,2005,3.5,0,0,0.1,0.0,2,1,80,126,63.49,8,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,18.0,juan cortazzo,juan cortazzo,gimnasia lp,2005,50000,1224924,2005-10-18,19,first+last+birth_year
juan cozzani,ar ARG,GK,Platense,25,1998,26.0,0,0,0.0,0.0,0,0,328,695,47.19,3,3,0,0,18.0,0.69,86.0,68.0,80.2,13.0,50.0,2.0,1.0,0.0,1.0,21.1,0.24,3.1,0.12,193.0,543.0,35.5,493.0,35.0,71.8,49.5,24.0,6.9,30.0,1.15,16.8,True,25.0,juan cozzani,juan cozzani,platense,1998,,,nan,,
juan cruz komar,ar ARG,DF,Rosario Central,27,1996,4.1,0,1,0.2,0.5,2,1,149,198,75.25,4,3,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,juan cruz komar,juan komar,rosario central,1996,600000,319691,1996-08-13,29,key+birth_year
juan espinola,py PAR,GK,Belgrano,29,1994,14.7,0,1,0.0,0.4,0,0,299,482,62.03,1,1,0,0,15.0,1.02,65.0,50.0,76.9,4.0,26.7,0.0,0.0,0.0,0.0,16.1,0.25,1.1,0.07,79.0,245.0,32.2,358.0,37.0,46.4,40.5,33.0,10.3,12.0,0.82,11.7,True,29.0,juan espinola,juan espinola,belgrano,1994,800000,532557,1994-11-02,30,first+last+birth_year
juan esquivel,ar ARG,FW,Tigre,23,2000,0.5,0,0,0.1,0.0,3,0,7,15,46.67,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,juan esquivel,juan esquivel,tigre,2000,,,nan,,
juan fedorco,ar ARG,DF,Independiente,23,2000,10.5,0,0,0.1,0.1,2,1,321,432,74.31,15,11,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,juan fedorco,juan fedorco,independiente,2000,,,nan,,
juan franco arrellaga,py PAR,DF,Instituto,31,1992,12.2,1,0,0.5,0.1,8,3,250,425,58.82,24,21,16,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0,juan franco arrellaga,juan arrellaga,instituto,1992,,,nan,,
juan gimenez,ar ARG,DF,Rosario Central,17,2006,15.4,1,1,0.2,0.3,5,1,522,646,80.8,36,25,26,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,17.0,juan gimenez,juan gimenez,rosario central,2006,3000000,1000686,2006-04-27,19,key+birth_year
juan guasone,it ITA,DF,Sarmiento,22,2001,2.5,0,0,0.0,0.3,0,0,30,45,66.67,2,0,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,juan guasone,juan guasone,sarmiento,2001,200000,832977,2001-03-27,24,first+last+birth_year
juan hernandez,uy URU,DF,Sarmiento,26,1997,2.8,0,0,0.1,0.1,2,0,43,65,66.15,2,1,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,juan hernandez,juan hernandez,sarmiento,1997,,,nan,,
juan ignacio mendez,ar ARG,MF,Newell's OB,26,1997,6.5,0,0,0.1,0.3,3,0,222,285,77.89,22,16,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,juan ignacio mendez,juan mendez,newell s ob,1997,700000,508134,1997-04-28,28,first+last+birth_year
juan ignacio ramirez,uy URU,FW,Newell's OB,26,1997,18.7,3,0,8.4,1.7,39,10,134,234,57.26,12,8,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,juan ignacio ramirez,juan ramirez,newell s ob,1997,,,nan,,
juan infante,ar ARG,DF,Atlé Tucumán,28,1996,23.9,0,2,0.7,1.9,15,3,616,879,70.08,51,34,28,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0,juan infante,juan infante,atle tucuman,1996,650000,615255,1996-01-07,29,first+last+birth_year
juan iribarren,ar ARG,DF,Banfield,21,2003,3.7,0,0,0.0,0.1,2,1,91,154,59.09,11,8,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,juan iribarren,juan iribarren,banfield,2003,75000,1232511,2003-01-22,22,key+birth_year
juan luduena,ar ARG,DF,Unión,20,2003,1.8,0,0,0.0,0.0,0,0,78,99,78.79,2,0,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,juan luduena,juan luduena,union,2003,100000,1103988,2003-02-11,22,first+last+club+birth_year
juan manuel elordi,ar ARG,"DF,MF",Racing Club,29,1994,3.6,0,0,0.1,0.1,2,1,113,172,65.7,9,5,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,juan manuel elordi,juan elordi,racing club,1994,300000,728602,1994-08-21,31,first+last+birth_year
juan manuel garcia,ar ARG,FW,Newell's OB,31,1992,9.5,3,1,4.4,1.1,26,7,108,183,59.02,10,3,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0,juan manuel garcia,juan garcia,newell s ob,1992,350000,457244,1992-11-14,32,first+last+birth_year
juan manuel insaurralde,ar ARG,DF,Sarmiento,39,1984,24.0,0,0,1.1,0.1,21,6,476,671,70.94,16,12,35,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,39.0,juan manuel insaurralde,juan insaurralde,sarmiento,1984,100000,65072,1984-10-03,41,key+birth_year
juan meli,ar ARG,"DF,MF",Cen. Córdoba–SdE,23,2000,13.6,2,1,0.4,0.4,3,2,333,511,65.17,34,24,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,juan meli,juan meli,cen cordoba sde,2000,,,nan,,
juan miritello,ar ARG,FW,Defensa y Just,24,1999,13.5,4,3,4.2,2.2,27,10,226,320,70.62,5,2,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,juan miritello,juan miritello,defensa y justicia,1999,2000000,728200,1999-02-08,26,key+birth_year
juan moran,ar ARG,DF,Godoy Cruz,17,2006,5.4,0,0,0.1,0.1,2,0,168,240,70.0,23,16,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,17.0,juan moran,juan moran,godoy cruz,2006,700000,1305914,2006-07-10,19,first+last+birth_year
juan nardoni,ar ARG,MF,Racing Club,21,2002,17.0,1,0,0.8,0.3,14,2,543,671,80.92,32,23,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,juan nardoni,juan nardoni,racing club,2002,11000000,689211,2002-07-14,23,first+last+club+birth_year
juan pablo goicochea,pe PER,FW,Platense,19,2005,0.1,0,0,0.0,0.0,0,0,2,3,66.67,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,juan pablo goicochea,juan goicochea,platense,2005,,,nan,,
juan perez,co COL,MF,Godoy Cruz,19,2004,5.4,1,2,0.3,0.6,6,3,108,150,72.0,7,5,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,juan perez,juan perez,godoy cruz,2004,175000,1087316,2004-07-25,21,first+last+birth_year
juan pignani,ar ARG,DF,Platense,22,2001,2.1,0,0,0.1,0.0,2,0,24,39,61.54,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,juan pignani,juan pignani,platense,2001,125000,984882,2001-07-02,24,first+last+birth_year
juan pintado,uy URU,"DF,MF",Gimnasia–LP,29,1994,25.7,0,5,0.4,2.2,11,3,956,1357,70.45,73,53,35,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,juan pintado,juan pintado,gimnasia lp,1994,,,nan,,
juan portillo,ar ARG,"DF,MF",Talleres,23,2000,20.9,0,2,0.7,0.8,12,1,875,1032,84.79,68,43,21,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,juan portillo,juan portillo,talleres,2000,3500000,830842,2000-05-18,25,first+last+birth_year
juan quintana,uy URU,"DF,MF",Banfield,24,2000,0.2,0,0,0.0,0.0,0,0,1,4,25.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,juan quintana,juan quintana,banfield,2000,,,nan,,
juan quintero,co COL,"MF,FW",Racing Club,31,1993,6.7,2,3,1.6,1.1,22,4,293,407,71.99,4,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0,juan quintero,juan quintero,racing club,1993,2000000,122582,1993-01-18,32,first+last+birth_year
juan rodriguez,ar ARG,DF,Talleres,29,1994,13.0,2,0,1.1,0.1,11,6,648,761,85.15,24,15,18,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,juan rodriguez,juan rodriguez,talleres,1994,700000,189448,1994-02-28,31,first+last+club+birth_year
juan saborido,ar ARG,DF,Platense,25,1998,11.8,0,0,0.2,0.9,8,0,307,510,60.2,27,18,21,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,juan saborido,juan saborido,platense,1998,1700000,866094,1998-04-25,27,first+last+club+birth_year
juan velazquez,ar ARG,"DF,MF",Belgrano,19,2004,20.1,0,3,0.4,2.4,11,3,519,776,66.88,37,23,26,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,juan velazquez,juan velazquez,belgrano,2004,2300000,1264273,2004-11-19,20,key+birth_year
julian ceballos,ar ARG,MF,Boca Juniors,19,2004,0.5,0,0,0.0,0.0,0,0,23,29,79.31,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,julian ceballos,julian ceballos,boca juniors,2004,,,nan,,
julian eseiza,ar ARG,FW,Godoy Cruz,21,2002,0.4,0,0,0.0,0.0,0,0,5,9,55.56,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,julian eseiza,julian eseiza,godoy cruz,2002,,,nan,,
julian fernandez,ar ARG,MF,Newell's OB,28,1995,3.3,0,0,0.1,0.0,2,1,83,110,75.45,11,5,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0,julian fernandez,julian fernandez,newell s ob,1995,,,nan,,
julian lopez,ar ARG,MF,Defensa y Just,24,2000,6.3,0,0,0.3,0.1,7,1,245,323,75.85,11,7,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,julian lopez,julian lopez,defensa y justicia,2000,1000000,625203,2000-01-08,25,first+last+birth_year
julio soler,ar ARG,DF,Lanús,18,2005,18.0,0,0,0.2,1.0,9,1,732,920,79.57,34,24,33,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,18.0,julio soler,julio soler,lanus,2005,,,nan,,
justo giani,ar ARG,"MF,FW",Atlé Tucumán,24,1999,2.5,0,0,0.3,0.3,4,0,67,96,69.79,4,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,justo giani,justo giani,atle tucuman,1999,,,nan,,
kevin coronel,ar ARG,DF,Arg Juniors,19,2004,9.2,0,1,0.2,0.3,6,1,400,512,78.12,32,14,12,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,kevin coronel,kevin coronel,arg juniors,2004,350000,1198369,2004-08-11,21,first+last+birth_year
kevin facundo gutierrez,ar ARG,MF,Defensa y Just,26,1997,22.3,0,0,0.6,0.4,23,4,1062,1301,81.63,40,23,25,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,kevin facundo gutierrez,kevin gutierrez,defensa y justicia,1997,3500000,554799,1997-06-03,28,first+last+club+birth_year
kevin lomonaco,ar ARG,DF,Tigre,22,2002,4.9,0,0,0.1,0.0,1,0,230,258,89.15,4,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,kevin lomonaco,kevin lomonaco,tigre,2002,12000000,661136,2002-01-08,23,first+last+birth_year
kevin lopez,ar ARG,"MF,FW",Defensa y Just,22,2001,10.9,0,0,0.5,2.2,17,3,473,591,80.03,23,11,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,kevin lopez,kevin lopez,defensa y justicia,2001,350000,931942,2001-12-28,23,first+last+birth_year
kevin mantilla,co COL,DF,Talleres,20,2003,5.0,0,0,0.0,0.2,0,0,215,251,85.66,11,8,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,kevin mantilla,kevin mantilla,talleres,2003,,,nan,,
kevin ortiz,ar ARG,MF,Rosario Central,23,2000,12.7,1,0,0.6,0.1,11,3,349,492,70.93,27,19,32,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,kevin ortiz,kevin ortiz,rosario central,2000,1200000,984079,2000-09-18,25,first+last+birth_year
kevin silva,ar ARG,DF,Rosario Central,20,2003,0.3,0,0,0.0,0.0,0,0,3,5,60.0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,kevin silva,kevin silva,rosario central,2003,,,nan,,
kevin vazquez,ar ARG,MF,Cen. Córdoba–SdE,22,2001,23.2,2,0,1.3,0.8,35,9,1178,1399,84.2,47,29,31,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,kevin vazquez,kevin vazquez,cen cordoba sde,2001,450000,1064181,2001-03-19,24,first+last+birth_year
kevin zenon,ar ARG,"MF,FW",Boca Juniors,22,2001,15.3,2,1,2.0,3.3,27,12,424,609,69.62,14,8,17,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,kevin zenon,kevin zenon,boca juniors,2001,7000000,829966,2001-07-30,24,key+birth_year
laurtaro giaccone,ar ARG,"FW,MF",Rosario Central,22,2001,10.1,1,2,1.4,2.3,14,3,231,314,73.57,18,11,17,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,laurtaro giaccone,laurtaro giaccone,rosario central,2001,,,nan,,
lautaro acosta,ar ARG,"MF,FW",Lanús,35,1988,8.3,0,0,0.7,0.2,4,2,157,218,72.02,14,9,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,35.0,lautaro acosta,lautaro acosta,lanus,1988,25000,45307,1988-03-14,37,key+birth_year
lautaro blanco,ar ARG,DF,Boca Juniors,24,1999,18.0,0,1,0.1,2.9,3,1,754,1125,67.02,49,33,16,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,lautaro blanco,lautaro blanco,boca juniors,1999,3800000,831161,1999-02-19,26,key+birth_year
lautaro bursich,ar ARG,GK,Cen. Córdoba–SdE,21,2002,1.0,0,0,0.0,0.0,0,0,16,27,59.26,0,0,0,0,2.0,2.0,4.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.24,-1.0,-1.02,5.0,15.0,33.3,12.0,5.0,41.7,32.3,0.0,0.0,0.0,0.0,16.5,True,21.0,lautaro bursich,lautaro bursich,cen cordoba sde,2002,,,nan,,
lautaro cardozo,ar ARG,DF,Banfield,22,2002,2.0,0,0,0.0,0.0,1,0,52,80,65.0,6,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,lautaro cardozo,lautaro cardozo,banfield,2002,,,nan,,
lautaro carrera,ar ARG,DF,Instituto,20,2003,4.9,0,0,0.0,0.0,0,0,151,192,78.65,14,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,lautaro carrera,lautaro carrera,instituto,2003,,,nan,,
lautaro chavez,ar ARG,FW,Gimnasia–LP,23,2001,0.0,0,0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,lautaro chavez,lautaro chavez,gimnasia lp,2001,,,nan,,
lautaro di lollo,ar ARG,DF,Boca Juniors,19,2004,10.3,0,0,0.0,0.0,1,0,470,567,82.89,32,24,17,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,lautaro di lollo,lautaro lollo,boca juniors,2004,4000000,1019744,2004-03-10,21,key+birth_year
lautaro garzon,ar ARG,GK,Vélez Sarsfield,20,2003,0.4,0,0,0.0,0.0,0,0,8,9,88.89,0,0,0,0,1.0,2.31,2.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,-0.4,-0.92,0.0,1.0,0.0,7.0,2.0,0.0,27.1,1.0,16.7,0.0,0.0,8.0,True,20.0,lautaro garzon,lautaro garzon,velez sarsfield,2003,125000,1171751,2003-07-30,22,key+birth_year
lautaro godoy,py PAR,MF,Atlé Tucumán,20,2003,0.4,0,0,0.0,0.0,1,0,13,20,65.0,3,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,lautaro godoy,lautaro godoy,atle tucuman,2003,400000,1098440,2003-03-15,22,first+last+birth_year
lautaro gomez,ar ARG,FW,Banfield,20,2003,0.7,0,0,0.0,0.0,0,0,4,4,100.0,4,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,lautaro gomez,lautaro gomez,banfield,2003,,,nan,,
lautaro millan,cl CHI,MF,Independiente,18,2005,5.6,0,1,1.9,0.3,7,4,150,203,73.89,17,12,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,18.0,lautaro millan,lautaro millan,independiente,2005,2500000,1240381,2005-08-16,20,key+birth_year
lautaro morales,ar ARG,GK,Talleres,24,1999,1.0,0,0,0.0,0.0,0,0,19,24,79.17,0,0,0,0,1.0,1.0,2.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.03,-0.9,-0.95,1.0,5.0,20.0,22.0,3.0,18.2,26.9,0.0,0.0,0.0,0.0,12.2,True,24.0,lautaro morales,lautaro morales,talleres,1999,700000,576023,1999-12-16,25,first+last+birth_year
lautaro rios,ar ARG,MF,Ind. Rivadavia,23,2000,13.1,1,2,1.9,1.2,23,4,244,340,71.76,33,23,29,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,lautaro rios,lautaro rios,ind rivadavia,2000,700000,878220,2000-10-09,25,first+last+birth_year
lautaro rivero,ar ARG,DF,Cen. Córdoba–SdE,20,2003,6.7,0,0,0.2,0.2,5,3,346,416,83.17,15,11,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,lautaro rivero,lautaro rivero,cen cordoba sde,2003,4000000,1261395,2003-11-01,21,first+last+birth_year
lautaro vargas,ar ARG,DF,Unión,18,2005,20.0,0,2,0.4,1.6,16,2,501,754,66.45,62,41,26,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,18.0,lautaro vargas,lautaro vargas,union,2005,3000000,1159650,2005-02-01,20,key+birth_year
lautaro villegas,ar ARG,MF,Banfield,20,2003,1.7,0,0,0.4,0.9,4,1,54,63,85.71,3,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,lautaro villegas,lautaro villegas,banfield,2003,,,nan,,
leandro brey,ar ARG,GK,Boca Juniors,21,2002,11.1,0,0,0.0,0.1,0,0,213,303,70.3,0,0,0,0,8.0,0.72,45.0,36.0,86.7,6.0,54.5,3.0,2.0,1.0,0.0,12.2,0.21,4.2,0.37,28.0,107.0,26.2,226.0,51.0,31.9,32.5,10.0,6.2,8.0,0.72,12.9,True,21.0,leandro brey,leandro brey,boca juniors,2002,1500000,982633,2002-09-21,23,key+birth_year
leandro contin,ar ARG,FW,Tigre,28,1995,4.8,1,0,1.3,0.7,9,1,65,89,73.03,2,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0,leandro contin,leandro contin,tigre,1995,,,nan,,
leandro diaz,ar ARG,"FW,MF",Lanús,31,1992,4.3,1,0,1.3,0.0,13,3,49,88,55.68,3,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0,leandro diaz,leandro diaz,lanus,1992,500000,140214,1992-06-06,33,first+last+birth_year
leandro garate,ar ARG,"FW,MF",Banfield,30,1993,6.9,2,0,2.8,0.1,14,5,86,147,58.5,5,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.0,leandro garate,leandro garate,banfield,1993,,,nan,,
leandro gonzalez pirez,ar ARG,DF,River Plate,31,1992,16.2,1,0,0.6,0.3,15,5,801,935,85.67,21,14,16,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0,leandro gonzalez pirez,leandro pirez,river plate,1992,400000,113130,1992-02-26,33,first+last+birth_year
leandro mamut,ar ARG,MF,Gimnasia–LP,20,2003,5.0,1,0,0.4,0.2,9,4,112,163,68.71,11,9,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,leandro mamut,leandro mamut,gimnasia lp,2003,75000,865201,2003-12-31,21,first+last+birth_year
leandro olima,0,MF,Atlé Tucumán,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,leandro olima,leandro olima,atle tucuman,0,,,nan,,
lenny lobato,br BRA,"FW,MF",Vélez Sarsfield,22,2001,0.2,0,0,0.0,0.0,1,0,2,5,40.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,lenny lobato,lenny lobato,velez sarsfield,2001,1500000,865028,2001-02-03,24,first+last+birth_year
leonardo heredia,ar ARG,"FW,MF",Arg Juniors,28,1996,4.9,0,0,1.1,0.1,13,4,59,86,68.6,3,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0,leonardo heredia,leonardo heredia,arg juniors,1996,1500000,538367,1996-01-11,29,first+last+birth_year
leonardo jara,ar ARG,DF,Lanús,32,1991,2.7,0,0,0.0,0.1,2,0,111,143,77.62,14,9,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,32.0,leonardo jara,leonardo jara,lanus,1991,125000,116163,1991-05-20,34,first+last+birth_year
leonardo landriel,ar ARG,MF,Deportivo Riestra,27,1996,1.5,0,1,0.0,0.3,0,0,20,37,54.05,3,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,leonardo landriel,leonardo landriel,deportivo riestra,1996,25000,349747,1996-07-14,29,first+last+birth_year
leonardo marchi,ar ARG,DF,Cen. Córdoba–SdE,27,1996,2.0,0,0,0.0,0.1,0,0,49,82,59.76,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,leonardo marchi,leonardo marchi,cen cordoba sde,1996,50000,642521,1996-09-17,29,first+last+birth_year
leonardo morales,ar ARG,DF,Gimnasia–LP,32,1991,21.3,0,0,0.3,0.2,5,0,623,841,74.08,39,30,28,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,32.0,leonardo morales,leonardo morales,gimnasia lp,1991,700000,457061,1991-04-11,34,first+last+birth_year
leonardo sigali,ar ARG,DF,Racing Club,36,1987,5.7,1,0,0.1,0.1,1,1,212,261,81.23,9,7,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,36.0,leonardo sigali,leonardo sigali,racing club,1987,,,nan,,
leonel cardozo,ar ARG,DF,Lanús,20,2004,1.0,0,0,0.0,0.0,0,0,38,52,73.08,2,2,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,leonel cardozo,leonel cardozo,lanus,2004,,,nan,,
leonel miranda,ar ARG,MF,Tigre,30,1994,1.9,0,0,0.0,0.0,1,0,127,161,78.88,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.0,leonel miranda,leonel miranda,tigre,1994,,,nan,,
leonel picco,ar ARG,MF,Platense,24,1999,20.1,0,0,0.7,0.0,15,4,402,554,72.56,97,52,43,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,leonel picco,leonel picco,platense,1999,3000000,663077,1998-10-22,26,key_no_year
leonel roldan,ar ARG,MF,Vélez Sarsfield,19,2004,1.6,0,0,0.0,0.0,1,0,46,59,77.97,2,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,leonel roldan,leonel roldan,velez sarsfield,2004,75000,1285239,2004-10-10,21,key+birth_year
leonel vangioni,ar ARG,DF,Newell's OB,36,1987,7.2,0,0,0.1,0.3,2,0,246,324,75.93,21,14,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,36.0,leonel vangioni,leonel vangioni,newell s ob,1987,,,nan,,
lionel verde,ar ARG,MF,Unión,19,2004,3.7,1,0,0.6,0.1,9,3,63,89,70.79,9,7,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,lionel verde,lionel verde,union,2004,,,nan,,
lisandro lopez,ar ARG,"FW,MF",Sarmiento,40,1983,5.4,1,0,3.1,0.8,9,3,96,153,62.75,4,3,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,40.0,lisandro lopez,lisandro lopez,sarmiento,1983,,,nan,,
