Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Gls,Ast,Shots,SoT,PassCmp,PassAtt,PassCmpPct,Tkl,TklW,Blocks,Int,GK_GA,GK_GA90,GK_SoTA,GK_Saves,GK_SavePct,GK_CS,GK_CSPct,GK_PKAtt,GK_PKA,GK_PKsv,GK_PKm,GK_PSxG,GK_PSxG_per_SoT,GK_PSxG_PlusMinus,GK_PSxG_PlusMinus_per90,GK_PassCmp,GK_PassAtt,GK_PassCmpPct,GK_GKPassAtt,GK_Throws,GK_LaunchPct,GK_AvgLen,GK_CrossesStp,GK_CrossesStpPct,GK_OPA,GK_OPA90,GK_OPA_AvgDist,IsGK,AgeYears,player_norm,player_fl,club_norm,dob_fb,birth_year_fb,market_value_eur,player_id,dob,age,join_method
ghassan hawsawi,sa KSA,"MF,DF",Al Okhdood SC,21,2003,5.9,0,0,4,2,0.0,0.0,0.0,0.0,13,0.0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,ghassan hawsawi,ghassan hawsawi,al okhdood sc,2003,2003.0,100000,1305931,2003-02-05,22,first+last+birth_year
giacomo bonaventura,it ITA,"MF,FW",Al-Shabab,34,1989,24.8,2,2,42,11,0.0,0.0,0.0,0.0,12,0.0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,34.0,giacomo bonaventura,giacomo bonaventura,al shabab,1989,1989.0,,,nan,,
glen kamara,fi FIN,MF,Al-Shabab,28,1995,10.7,0,0,0,0,0.0,0.0,0.0,0.0,8,0.0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0,glen kamara,glen kamara,al shabab,1995,1995.0,,,nan,,
gojko cimirot,ba BIH,MF,Al-Fayha,31,1992,15.0,0,1,2,0,0.0,0.0,0.0,0.0,11,0.0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0,gojko cimirot,gojko cimirot,al fayha,1992,1992.0,,,nan,,
gustavo cuellar,co COL,"MF,DF",Al-Shabab,31,1992,6.9,0,0,1,0,0.0,0.0,0.0,0.0,10,0.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0,gustavo cuellar,gustavo cuellar,al shabab,1992,1992.0,,,nan,,
gustavo gouveia,br BRA,MF,Al-Qadsiah,17,2006,0.2,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,17.0,gustavo gouveia,gustavo gouveia,al qadsiah,2006,2006.0,,,nan,,
habib diallo,sn SEN,FW,Damac,29,1995,25.6,7,3,50,17,0.0,0.0,0.0,0.0,2,0.0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,habib diallo,habib diallo,damac,1995,1995.0,,,nan,,
hamad al khorayef,sa KSA,FW,Al-Shabab,18,2005,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,18.0,hamad al khorayef,hamad khorayef,al shabab,2005,2005.0,,,nan,,
hamad al tuhayfan,sa KSA,DF,Al-Hilal,25,1999,7.3,0,1,3,0,0.0,0.0,0.0,0.0,8,0.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,hamad al tuhayfan,hamad tuhayfan,al hilal,1999,1999.0,,,nan,,
hamad al-jizani,sa KSA,"DF,MF",Al-Raed,31,1993,15.5,0,0,3,1,0.0,0.0,0.0,0.0,25,0.0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0,hamad al jizani,hamad jizani,al raed,1993,1993.0,,,nan,,
hamdan al-shamrani,sa KSA,DF,Al Kholood Saudi Club,27,1996,23.0,0,0,6,0,0.0,0.0,0.0,0.0,35,0.0,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,hamdan al shamrani,hamdan shamrani,al kholood saudi club,1996,1996.0,,,nan,,
hamed al maqati,sa KSA,DF,Al-Orobah,31,1993,25.2,0,2,10,2,0.0,0.0,0.0,0.0,22,0.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0,hamed al maqati,hamed maqati,al orobah,1993,1993.0,,,nan,,
hamed al shanqiti,sa KSA,GK,Al-Ittihad,19,2005,2.1,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,3.0,1.45,16.0,13.0,81.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,19.0,hamed al shanqiti,hamed shanqiti,al ittihad,2005,2005.0,200000,1060899,2005-04-26,20,fuzzy_global(94.11764705882354)
hamed al-ghamdi,sa KSA,MF,Al-Ittihad,25,1999,5.0,1,1,6,1,0.0,0.0,0.0,0.0,5,0.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,hamed al ghamdi,hamed ghamdi,al ittihad,1999,1999.0,250000,593337,1999-04-02,26,first+last+birth_year
hammam al hammami,sa KSA,"MF,FW",Al Kholood Saudi Club,20,2004,20.0,4,3,35,15,0.0,0.0,0.0,0.0,22,0.0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,hammam al hammami,hammam hammami,al kholood saudi club,2004,2004.0,400000,1118034,2004-01-30,21,first+last+birth_year
haroune camara,sa KSA,"FW,MF",Al-Shabab,26,1998,17.9,6,3,35,15,0.0,0.0,0.0,0.0,10,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,haroune camara,haroune camara,al shabab,1998,1998.0,400000,31406,1998-01-01,27,first+last+birth_year
hassan abo shararah,sa KSA,MF,Damac,27,1997,0.3,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,hassan abo shararah,hassan shararah,damac,1997,1997.0,,,nan,,
hassan al asmari,sa KSA,DF,Al Kholood Saudi Club,21,2002,3.9,0,0,0,0,0.0,0.0,0.0,0.0,2,0.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,hassan al asmari,hassan asmari,al kholood saudi club,2002,2002.0,100000,901162,2002-10-06,23,first+last+birth_year
hassan al musallam,sa KSA,DF,Al-Khaleej,18,2005,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,18.0,hassan al musallam,hassan musallam,al khaleej,2005,2005.0,,,nan,,
hassan al tambakti,sa KSA,DF,Al-Hilal,25,1999,13.9,0,1,9,0,0.0,0.0,0.0,0.0,12,0.0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,hassan al tambakti,hassan tambakti,al hilal,1999,1999.0,1600000,509897,1999-02-09,26,first+last+birth_year
hassan kadesh,sa KSA,DF,Al-Ittihad,31,1992,25.3,2,1,7,2,0.0,0.0,0.0,0.0,27,0.0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0,hassan kadesh,hassan kadesh,al ittihad,1992,1992.0,350000,260859,1992-09-26,33,first+last+birth_year
hattan bahebri,sa KSA,"MF,FW",Al-Taawoun,32,1992,4.7,2,1,13,3,0.0,0.0,0.0,0.0,4,0.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,32.0,hattan bahebri,hattan bahebri,al taawoun,1992,1992.0,450000,201379,1992-07-16,33,first+last+birth_year
hazzaa al ghamdi,sa KSA,"MF,FW",Damac,23,2001,7.7,0,1,7,1,0.0,0.0,0.0,0.0,9,0.0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,hazzaa al ghamdi,hazzaa ghamdi,damac,2001,2001.0,150000,364117,2001-01-11,24,first+last+birth_year
henry onyekuru,ng NGA,FW,Al-Fayha,27,1997,1.6,0,0,1,0,0.0,0.0,0.0,0.0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,henry onyekuru,henry onyekuru,al fayha,1997,1997.0,,,nan,,
heorhiy bushchan,ua UKR,GK,Al-Shabab,30,1994,11.0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0,21.0,1.91,58.0,38.0,65.5,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,30.0,heorhiy bushchan,heorhiy bushchan,al shabab,1994,1994.0,,,nan,,
hisham al dubais,sa KSA,FW,Al-Khaleej,22,2001,1.4,1,0,3,2,0.0,0.0,0.0,0.0,1,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,hisham al dubais,hisham dubais,al khaleej,2001,2001.0,200000,1051402,2001-09-26,24,first+last+birth_year
houssem aouar,dz ALG,MF,Al-Ittihad,26,1998,27.7,12,4,52,25,0.0,0.0,0.0,0.0,19,0.0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,houssem aouar,houssem aouar,al ittihad,1998,1998.0,8500000,395693,1998-06-30,27,first+last+birth_year
husain al qahtani,sa KSA,MF,Al-Qadsiah,29,1994,7.2,0,0,4,2,0.0,0.0,0.0,0.0,16,0.0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,husain al qahtani,husain qahtani,al qadsiah,1994,1994.0,350000,901124,1994-12-20,30,fuzzy_global(97.14285714285714)
hussain al essa,sa KSA,MF,Al-Wehda,23,2000,1.8,0,0,3,1,0.0,0.0,0.0,0.0,6,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,hussain al essa,hussain essa,al wehda,2000,2000.0,,,nan,,
hussain al nattar,sa KSA,MF,Al-Qadsiah,24,2000,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,hussain al nattar,hussain nattar,al qadsiah,2000,2000.0,,,nan,,
hussain al nuweqi,sa KSA,DF,Al-Riyadh SC,28,1995,14.5,0,0,10,3,0.0,0.0,0.0,0.0,15,0.0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0,hussain al nuweqi,hussain nuweqi,al riyadh sc,1995,1995.0,,,nan,,
hussain al sibyani,sa KSA,MF,Al-Shabab,23,2001,6.9,0,0,5,1,0.0,0.0,0.0,0.0,12,0.0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,hussain al sibyani,hussain sibyani,al shabab,2001,2001.0,300000,947134,2001-06-24,24,first+last+birth_year
hussain al sultan,0,FW,Al-Khaleej,0,0,0.3,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,hussain al sultan,hussain sultan,al khaleej,0,2024.0,,,nan,,
hussain al zarie,sa KSA,"DF,MF",Al-Fateh,19,2004,18.7,0,1,9,2,0.0,0.0,0.0,0.0,35,0.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,hussain al zarie,hussain zarie,al fateh,2004,2004.0,,,nan,,
hussain qassem,sa KSA,"MF,DF",Al-Fateh,26,1997,2.7,0,1,1,0,0.0,0.0,0.0,0.0,3,0.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,hussain qassem,hussain qassem,al fateh,1997,1997.0,,,nan,,
hussein al shuwaysh,sa KSA,DF,Al-Orobah,35,1988,23.6,0,2,4,0,0.0,0.0,0.0,0.0,22,0.0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,35.0,hussein al shuwaysh,hussein shuwaysh,al orobah,1988,1988.0,,,nan,,
hussian al zabdani,sa KSA,"DF,MF",Al Okhdood SC,29,1995,8.0,0,1,1,0,0.0,0.0,0.0,0.0,13,0.0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,hussian al zabdani,hussian zabdani,al okhdood sc,1995,1995.0,175000,965992,1995-04-15,30,fuzzy_global(94.44444444444444)
ibrahim al-shoeil,sa KSA,"MF,DF",Al-Taawoun,29,1994,2.0,0,0,0,0,0.0,0.0,0.0,0.0,6,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,ibrahim al shoeil,ibrahim shoeil,al taawoun,1994,1994.0,,,nan,,first+last+birth_year±1(unique)
ibrahim al-zubaidi,sa KSA,DF,Al-Orobah,35,1989,19.3,0,1,2,1,0.0,0.0,0.0,0.0,30,0.0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,35.0,ibrahim al zubaidi,ibrahim zubaidi,al orobah,1989,1989.0,,,nan,,
ibrahim bayesh,iq IRQ,"MF,FW",Al-Riyadh SC,24,2000,30.0,5,2,33,12,0.0,0.0,0.0,0.0,51,0.0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,ibrahim bayesh,ibrahim bayesh,al riyadh sc,2000,2000.0,1000000,560957,2000-05-01,25,key+birth_year
ibrahim mahnashi,sa KSA,DF,Al-Qadsiah,24,1999,3.3,0,0,0,0,0.0,0.0,0.0,0.0,7,0.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,ibrahim mahnashi,ibrahim mahnashi,al qadsiah,1999,1999.0,,,nan,,
ibrahim sehic,ba BIH,GK,Al-Khaleej,35,1988,24.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,33.0,1.37,99.0,69.0,68.7,6.0,25.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,35.0,ibrahim sehic,ibrahim sehic,al khaleej,1988,1988.0,,,nan,,
ibrahima kone,ml MLI,FW,Al Okhdood SC,25,1999,9.9,3,1,26,7,0.0,0.0,0.0,0.0,3,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,ibrahima kone,ibrahima kone,al okhdood sc,1999,1999.0,,,nan,,
ignacio de arruabarrena,uy URU,GK,Al-Wehda,27,1997,2.0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0,8.0,4.0,13.0,5.0,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,27.0,ignacio de arruabarrena,ignacio arruabarrena,al wehda,1997,1997.0,,,nan,,
iker almena,es ESP,"MF,DF",Al-Qadsiah,20,2004,13.1,0,1,10,3,0.0,0.0,0.0,0.0,12,0.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,iker almena,iker almena,al qadsiah,2004,2004.0,,,nan,,
ismael kandouss,ma MAR,DF,Al-Orobah,26,1997,28.5,2,0,11,5,0.0,0.0,0.0,0.0,37,0.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,ismael kandouss,ismael kandouss,al orobah,1997,1997.0,,,nan,,
ivan toney,eng ENG,FW,Al-Ahli,28,1996,28.1,23,4,114,55,0.0,0.0,0.0,0.0,12,0.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0,ivan toney,ivan toney,al ahli,1996,1996.0,25000000,251664,1996-03-16,29,first+last+birth_year
jack hendry,sct SCO,DF,Al-Ettifaq,29,1995,14.2,0,0,0,0,0.0,0.0,0.0,0.0,8,0.0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,jack hendry,jack hendry,al ettifaq,1995,1995.0,2500000,363223,1995-05-07,30,first+last+birth_year
jackson muleka,cd COD,FW,Al Kholood Saudi Club,24,1999,26.5,7,4,80,28,0.0,0.0,0.0,0.0,18,0.0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,jackson muleka,jackson muleka,al kholood saudi club,1999,1999.0,,,nan,,
jacob mendy,sa KSA,MF,Al-Fayha,27,1996,8.4,0,0,5,1,0.0,0.0,0.0,0.0,15,0.0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,jacob mendy,jacob mendy,al fayha,1996,1996.0,,,nan,,
jader duran,co COL,FW,Al-Nassr,20,2003,12.1,8,0,51,22,0.0,0.0,0.0,0.0,6,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,jader duran,jader duran,al nassr,2003,2003.0,,,nan,,
jalal al salem,0,MF,Al-Ettifaq,0,0,2.0,0,0,2,2,0.0,0.0,0.0,0.0,0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,jalal al salem,jalal salem,al ettifaq,0,2024.0,,,nan,,
jamaan al-dossari,sa KSA,DF,Al Kholood Saudi Club,30,1993,1.2,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.0,jamaan al dossari,jamaan dossari,al kholood saudi club,1993,1993.0,100000,141810,1993-09-06,32,fuzzy_global(96.96969696969697)
jason denayer,be BEL,DF,Al-Fateh,29,1995,13.0,0,0,3,1,0.0,0.0,0.0,0.0,9,0.0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,jason denayer,jason denayer,al fateh,1995,1995.0,,,nan,,
jawad al hassan,0,FW,Damac,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,jawad al hassan,jawad hassan,damac,0,2024.0,,,nan,,
jawad el yamiq,ma MAR,DF,Al-Wehda,32,1992,23.3,2,0,19,8,0.0,0.0,0.0,0.0,15,0.0,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,32.0,jawad el yamiq,jawad yamiq,al wehda,1992,1992.0,1200000,235412,1992-02-29,33,first+last+birth_year
jean seri,ci CIV,MF,Al-Orobah,33,1991,5.0,1,0,4,1,0.0,0.0,0.0,0.0,2,0.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33.0,jean seri,jean seri,al orobah,1991,1991.0,,,nan,,
jehad thakri,sa KSA,DF,Al-Qadsiah,23,2001,26.6,0,0,9,5,0.0,0.0,0.0,0.0,29,0.0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,jehad thakri,jehad thakri,al qadsiah,2001,2001.0,1000000,901334,2001-07-21,24,first+last+birth_year
joao cancelo,pt POR,DF,Al-Hilal,30,1994,20.1,0,5,23,8,0.0,0.0,0.0,0.0,39,0.0,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.0,joao cancelo,joao cancelo,al hilal,1994,1994.0,15000000,182712,1994-05-27,31,first+last+birth_year
joao costa,br BRA,"MF,FW",Al-Ettifaq,19,2005,15.9,4,1,27,8,0.0,0.0,0.0,0.0,17,0.0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,joao costa,joao costa,al ettifaq,2005,2005.0,2800000,936536,2005-03-28,20,first+last+birth_year
joao pedro pereira dos santos,br BRA,FW,Al-Taawoun,31,1993,10.6,3,0,35,12,0.0,0.0,0.0,0.0,6,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0,joao pedro pereira dos santos,joao santos,al taawoun,1993,1993.0,,,nan,,
johann berg gumundsson,is ISL,"MF,FW",Al-Orobah,33,1990,25.2,4,4,34,14,0.0,0.0,0.0,0.0,12,0.0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33.0,johann berg gumundsson,johann gumundsson,al orobah,1990,1990.0,,,nan,,
jorge filipe oliveira fernandes,pt POR,DF,Al-Fateh,27,1997,16.0,0,0,3,0,0.0,0.0,0.0,0.0,14,0.0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,jorge filipe oliveira fernandes,jorge fernandes,al fateh,1997,1997.0,2000000,344395,1997-04-02,28,first+last+birth_year
josen escobar,co COL,MF,Al-Ettifaq,19,2004,4.0,0,0,5,0,0.0,0.0,0.0,0.0,3,0.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,josen escobar,josen escobar,al ettifaq,2004,2004.0,,,nan,,
juan pedroza,co COL,MF,Al Okhdood SC,25,1999,30.0,1,2,31,7,0.0,0.0,0.0,0.0,58,0.0,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,juan pedroza,juan pedroza,al okhdood sc,1999,1999.0,750000,677706,1999-04-08,26,first+last+birth_year
julian quinones,mx MEX,"FW,MF",Al-Qadsiah,27,1997,27.1,20,5,120,53,0.0,0.0,0.0,0.0,12,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,julian quinones,julian quinones,al qadsiah,1997,1997.0,12000000,416090,1997-03-24,28,first+last+birth_year
juninho bacuna,cw CUW,MF,Al-Wehda,26,1997,25.1,3,4,50,11,0.0,0.0,0.0,0.0,24,0.0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,juninho bacuna,juninho bacuna,al wehda,1997,1997.0,,,nan,,
kaio cesar,br BRA,MF,Al-Hilal,20,2004,8.4,3,3,26,10,0.0,0.0,0.0,0.0,11,0.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,kaio cesar,kaio cesar,al hilal,2004,2004.0,5000000,766258,2004-02-15,21,first+last+birth_year
kalidou koulibaly,sn SEN,DF,Al-Hilal,33,1991,28.9,2,0,19,4,0.0,0.0,0.0,0.0,39,0.0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33.0,kalidou koulibaly,kalidou koulibaly,al hilal,1991,1991.0,6000000,93128,1991-06-20,34,first+last+birth_year
karim ashraf,eg EGY,FW,Al Okhdood SC,20,2004,0.1,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,karim ashraf,karim ashraf,al okhdood sc,2004,2004.0,,,nan,,
karim benzema,fr FRA,FW,Al-Ittihad,36,1987,28.1,21,9,110,54,0.0,0.0,0.0,0.0,10,0.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,36.0,karim benzema,karim benzema,al ittihad,1987,1987.0,7000000,18922,1987-12-19,37,first+last+birth_year
karim el berkaoui,ma MAR,FW,Al-Raed,28,1995,17.9,11,0,37,22,0.0,0.0,0.0,0.0,9,0.0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0,karim el berkaoui,karim berkaoui,al raed,1995,1995.0,,,nan,,
karl toko ekambi,cm CMR,"FW,MF",Al-Ettifaq,31,1992,21.4,1,2,49,19,0.0,0.0,0.0,0.0,11,0.0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0,karl toko ekambi,karl ekambi,al ettifaq,1992,1992.0,2000000,315110,1992-09-14,33,first+last+birth_year
karlo muhar,hr CRO,MF,Al-Orobah,28,1996,30.0,0,1,30,9,0.0,0.0,0.0,0.0,57,0.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0,karlo muhar,karlo muhar,al orobah,1996,1996.0,,,nan,,
kebba sowe,gm GAM,FW,Al Kholood Saudi Club,18,2005,0.2,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,18.0,kebba sowe,kebba sowe,al kholood saudi club,2005,2005.0,,,nan,,
kevin n'doram,fr FRA,MF,Al Kholood Saudi Club,28,1996,27.3,0,0,14,4,0.0,0.0,0.0,0.0,24,0.0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0,kevin n doram,kevin doram,al kholood saudi club,1996,1996.0,1200000,342209,1996-01-22,29,first+last+birth_year
khaled al rammah,sa KSA,MF,Al-Fayha,19,2005,3.7,0,0,0,0,0.0,0.0,0.0,0.0,8,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,khaled al rammah,khaled rammah,al fayha,2005,2005.0,100000,1194398,2005-04-30,20,first+last+birth_year
khaled al-sumairi,sa KSA,MF,Al-Khaleej,27,1997,12.6,0,1,9,3,0.0,0.0,0.0,0.0,32,0.0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,khaled al sumairi,khaled sumairi,al khaleej,1997,1997.0,225000,470011,1997-01-01,28,first+last+birth_year
khaled narey,tg TOG,"MF,FW",Al-Khaleej,30,1994,12.9,3,3,22,8,0.0,0.0,0.0,0.0,14,0.0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.0,khaled narey,khaled narey,al khaleej,1994,1994.0,2500000,153664,1994-07-23,31,first+last+birth_year
khalid al ghannam,sa KSA,MF,Al-Hilal,23,2000,0.6,0,0,2,1,0.0,0.0,0.0,0.0,2,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,khalid al ghannam,khalid ghannam,al hilal,2000,2000.0,300000,631923,2000-11-07,24,first+last+birth_year
khalid al subaie,sa KSA,"MF,DF",Al-Raed,24,1999,9.9,0,0,4,0,0.0,0.0,0.0,0.0,14,0.0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,khalid al subaie,khalid subaie,al raed,1999,1999.0,225000,1172146,1999-10-26,25,first+last+birth_year
khalid kaabi,sa KSA,MF,Al-Fayha,32,1992,9.8,2,0,11,2,0.0,0.0,0.0,0.0,6,0.0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,32.0,khalid kaabi,khalid kaabi,al fayha,1992,1992.0,,,nan,,
khalifah al dawsari,sa KSA,DF,Al-Hilal,25,1999,4.9,0,0,1,1,0.0,0.0,0.0,0.0,7,0.0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,khalifah al dawsari,khalifah dawsari,al hilal,1999,1999.0,150000,631928,1999-01-02,26,first+last+birth_year
kim seung-gyu,kr KOR,GK,Al-Shabab,33,1990,7.5,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,5.0,0.67,21.0,17.0,81.0,4.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,33.0,kim seung gyu,kim gyu,al shabab,1990,1990.0,,,nan,,
knowledge musona,zw ZIM,MF,Al Okhdood SC,34,1990,22.4,5,3,52,9,0.0,0.0,0.0,0.0,15,0.0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,34.0,knowledge musona,knowledge musona,al okhdood sc,1990,1990.0,,,nan,,
koen casteels,be BEL,GK,Al-Qadsiah,32,1992,33.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,29.0,0.88,106.0,81.0,76.4,14.0,42.4,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,32.0,koen casteels,koen casteels,al qadsiah,1992,1992.0,4500000,108880,1992-06-25,33,first+last+birth_year
kostas fortounis,gr GRE,MF,Al-Khaleej,31,1992,28.6,9,5,81,34,0.0,0.0,0.0,0.0,13,0.0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0,kostas fortounis,kostas fortounis,al khaleej,1992,1992.0,,,nan,,
kurt zouma,fr FRA,DF,Al-Orobah,29,1994,16.7,1,0,6,1,0.0,0.0,0.0,0.0,6,0.0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,kurt zouma,kurt zouma,al orobah,1994,1994.0,,,nan,,
leandrinho,br BRA,"MF,DF",Al-Shabab,19,2005,6.3,0,1,3,0,0.0,0.0,0.0,0.0,9,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,leandrinho,leandrinho,al shabab,2005,2005.0,,,nan,,
lucas chavez,bo BOL,"MF,FW",Al-Taawoun,21,2003,6.2,1,1,6,3,0.0,0.0,0.0,0.0,6,0.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,lucas chavez,lucas chavez,al taawoun,2003,2003.0,,,nan,,
